Timestamp (ms),acc_x,acc_y,acc_z,label,category,participant,set
2024-11-21 15:10:20.600,-0.06074376180571428,,-0.1461526976142857,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:20.800,0.153611985,0.06572911957142857,0.08188986714285715,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:21.000,0.062630035,,,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:21.200,,0.04857530599999999,,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:21.400,0.029900225880000002,0.0119120678,-0.05534834126666666,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:21.600,0.0686058387368421,-0.1549490842105263,-0.002821318157894734,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:21.800,0.06220267956666667,-0.12733002369333332,0.05991908530133332,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:22.000,0.00517596540909091,-0.013487267454545454,0.013947064272727272,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:22.200,-0.08742055494615385,-0.19271226284615384,0.08720814166153847,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:22.400,0.01278228847142857,-0.16603585785714284,0.07282302753571428,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:22.600,0.04258771956,-0.1168646584,0.030913975400000005,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:22.800,0.10680730466666666,-0.088078161,-0.014346278666666665,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:23.000,0.10019568791304348,0.03701534104347826,-0.003623770782608696,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:23.200,-0.0007263008333333321,0.06912245955,-0.06335760983333334,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:23.400,0.017789151333333333,,-0.0993892175,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:23.600,-0.08474224127272728,0.025732575454545457,-0.08095933345454545,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:23.800,,,-0.07313059087142858,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:24.000,0.053680446,,0.12524398,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:24.200,0.007163752428571433,0.11527177314285715,-0.03676267857142858,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:24.400,0.047778444999999996,0.022408843999999997,0.024247984181818182,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:24.600,0.004347292800000001,-0.1230757764,0.02937707722,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:24.800,0.02664148978947368,-0.1356740127368421,0.027797482105263158,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:25.000,-0.05480778428571429,-0.09860974057142857,0.062803228,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:25.200,,-0.10837683916666667,0.062457904499999994,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:25.400,-0.03181798929166666,-0.11037066150000001,0.05944223408333333,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:25.600,-0.06908978562222222,,0.09746476107777777,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:25.800,-0.001123950400000001,-0.17349788,0.0777198798,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:26.000,0.0996914729,-0.08045163229999999,-0.06757653035,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:26.200,0.12143650033333332,0.07283722583333332,-0.09717562116666667,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:26.400,-0.04582768625,0.11212876300749999,-0.110613924375,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:26.600,,,-0.11998801,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:26.800,,,-0.053970541000000004,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:27.000,0.009997726000000005,-0.10918246125,0.07850844850000001,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:27.200,0.019946882142857142,0.10916167985714285,0.09482410157142858,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:27.400,0.13744123288888888,-0.010911161966666666,0.07275364105555555,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:27.600,0.0650313999285,-0.08234955957,0.03198199592,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:27.800,-0.058217529724999995,-0.150890509,0.0673948224,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:28.000,,-0.14093377857142858,0.028462820700000002,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:10:28.200,-0.036559637909090906,0.03863158414545454,-0.013360224409090909,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:45.400,-0.10139062182352941,,,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:45.600,-0.06675443785714286,,,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:45.800,-0.04947875399999999,-0.105675042,,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:46.000,-0.041304643142857145,-0.08473858428571428,,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:46.200,-0.040546351599999995,-0.09236496599999999,,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:46.400,-0.00018472671999999988,-0.0400204706,-0.173037412,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:46.600,-0.06186822847058823,,-0.10903677694117647,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:46.800,0.14762906571428572,-0.13428674328571427,-0.15201336499999998,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:47.000,0.1512460622,-0.028437623481481485,-0.1402480702962963,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:47.200,0.15073624564285715,0.05744978471428571,-0.1643568085714286,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:47.400,,,-0.019554050842105267,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:47.600,-0.07850584816666667,0.08488725733333334,-0.188494354,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:47.800,0.11350183285714285,-0.011255969857142858,-0.19226746581428572,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:48.000,0.1950402117894737,0.021663121736842105,-0.057284929631578954,Arnold-press,Heavy,Razvan,19.0
